[2022-09-29 21:03:24 +0000] [1] [INFO] Starting gunicorn 20.1.0
[2022-09-29 21:03:24 +0000] [1] [INFO] Listening at: http://0.0.0.0:8000 (1)
[2022-09-29 21:03:24 +0000] [1] [INFO] Using worker: sync
[2022-09-29 21:03:24 +0000] [7] [INFO] Booting worker with pid: 7
[2022-09-29 21:03:25 +0000] [8] [INFO] Booting worker with pid: 8
2022-09-29 21:03:46,089 | INFO | 8 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:46,121 | INFO | 8 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:46,156 | INFO | 8 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:46,196 | INFO | 8 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:46,230 | INFO | 8 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:46,262 | INFO | 8 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:46,298 | INFO | 8 | views.py:index:7 | hello
2022-09-29 21:03:46,333 | INFO | 8 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:46,365 | INFO | 8 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:46,744 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:46,775 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:46,808 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:46,838 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:46,869 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:46,901 | INFO | 7 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:46,931 | INFO | 7 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:46,962 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:46,996 | INFO | 7 | views.py:index:7 | hello
2022-09-29 21:03:47,060 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:47,190 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:47,223 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:47,319 | INFO | 8 | views.py:index:9 | dummy log message 2
